IdTransaksi,IdPelanggan,Date,NamaPelanggan,Kota,Status,JenisKelamin,IdProduk ,NamaProduk,Harga,Qty,Pajak,Total,Pembayaran,Rating
10309,17867,01/01/2019,Baane Mini Imports,Yangon,Normal,Male,9307152,Sports and travel,72.61,6,21.783,457.443,Credit card,6.9
10318,17868,1/21/2019,Diecast Classics Inc.,Yangon,Normal,Male,7441791,Food and beverages,54.67,3,82.005,1.722.105,Credit card,8.6
10329,17869,03/11/2019,Land of Toys Inc.,Mandalay,Normal,Female,5283450,Home and lifestyle,40.3,2,4.03,84.63,Ewallet,4.4
10341,17870,2/25/2019,Salzburg Collectables,Naypyitaw,Member,Male,6515340,Electronic accessories,86.04,5,21.51,451.71,Ewallet,4.8
10361,17871,03/05/2019,Souveniers And Things Co.,Mandalay,Normal,Male,1592112,Health and beauty,87.98,3,13.197,277.137,Ewallet,5.1
10375,17872,3/15/2019,La Rochelle Gifts,Mandalay,Normal,Male,9424511,Home and lifestyle,33.2,2,3.32,,Credit card,4.4
10388,17873,2/17/2019,FunGiftIdeas.com,Yangon,Normal,Male,9459080,Electronic accessories,34.56,5,8.64,181.44,Ewallet,9.9
10403,17874,03/02/2019,UK Collectables, Ltd.,Yangon,Member,Male,4018127,Sports and travel,88.63,3,132.945,2.791.845,Ewallet,6
10417,17875,3/22/2019,Euro Shopping Channel,Yangon,Member,Female,2554813,Home and lifestyle,52.59,8,21.036,441.756,Credit card,8.5
10103,17876,02/08/2019,Baane Mini Imports,Mandalay,Normal,Male,5797689,Fashion accessories,33.52,1,1.676,35.196,Cash,6.7
10112,17877,03/10/2019,Volvo Model Replicas, Co,Yangon,Normal,Female,7761444,Fashion accessories,87.67,2,8.767,184.107,Credit card,7.7
10126,17878,1/25/2019,Corrida Auto Replicas, Ltd,Mandalay,Normal,Female,2811498,Food and beverages,88.36,5,22.09,463.89,Cash,9.6
10140,17879,3/15/2019,Technics Stores Inc.,Yangon,Normal,Male,5963628,Health and beauty,24.89,9,112.005,2.352.105,Cash,7.4
10150,17880,2/25/2019,Dragon Souveniers, Ltd.,Mandalay,Normal,Male,9322555,Fashion accessories,94.13,5,235.325,4.941.825,Credit card,4.8
10163,17881,1/28/2019,Classic Legends Inc.,Mandalay,Member,Male,7844964,Sports and travel,78.07,9,351.315,7.377.615,Cash,4.5
10174,17882,01/10/2019,Australian Gift Network, Co,Mandalay,Normal,Male,2166204,Sports and travel,83.78,8,33.512,703.752,Cash,5.1
10183,17883,3/15/2019,Classic Gift Ideas, Inc,Yangon,Normal,Male,5561349,Health and beauty,96.58,2,9.658,202.818,Credit card,5.1
10194,17884,02/06/2019,Saveley & Henriot, Co.,Naypyitaw,Member,Female,2983208,Food and beverages,99.42,4,19.884,417.564,Ewallet,7.5
10206,17885,01/07/2019,Canadian Gift Exchange Network,Naypyitaw,Member,Female,7641204,Sports and travel,68.12,1,3.406,71.526,Ewallet,6.8
10215,17886,03/10/2019,West Coast Collectables Co.,Yangon,Member,Male,5575073,Sports and travel,62.62,5,15.655,328.755,Ewallet,7
10228,17887,1/15/2019,Cambridge Collectables Co.,Yangon,Normal,Female,7609074,Electronic accessories,60.88,9,27.396,575.316,Ewallet,4.7
10245,17888,3/23/2019,Super Scale Inc.,Naypyitaw,Normal,Female,4881644,Health and beauty,54.92,8,21.968,461.328,Ewallet,7.6
10258,17889,03/03/2019,Tokyo Collectables, Ltd,Mandalay,Member,Male,4382731,Home and lifestyle,30.12,8,12.048,253.008,Cash,7.7
10270,17890,1/17/2019,Souveniers And Things Co.,Mandalay,Member,Female,6187530,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,7.9
10280,17891,02/02/2019,Amica Models & Co.,Naypyitaw,Member,Male,6491242,Home and lifestyle,56.11,2,5.611,117.831,Cash,6.3
10291,17892,02/08/2019,Scandinavian Gift Ideas,Mandalay,Member,Female,6057435,Sports and travel,69.12,6,20.736,435.456,Cash,5.6
10304,17893,03/04/2019,Auto Assoc. & Cie.,Naypyitaw,Member,Female,7384135,Food and beverages,98.7,8,39.48,829.08,Cash,7.6
10312,17894,3/16/2019,Mini Gifts Distributors Ltd.,Naypyitaw,Member,Male,8990986,Health and beauty,15.37,2,1.537,32.277,Cash,7.2
10322,17895,03/09/2019,Online Diecast Creations Co.,Mandalay,Member,Female,6346214,Electronic accessories,93.96,4,18.792,394.632,Cash,9.5
10333,17896,2/27/2019,Mini Wheels Co.,Mandalay,Member,Male,9272986,Health and beauty,56.69,9,255.105,5.357.205,Credit card,8.4
10347,17897,02/06/2019,Australian Collectors, Co.,Mandalay,Member,Female,5993170,Food and beverages,20.01,9,90.045,1.890.945,Ewallet,4.1
10357,17898,02/10/2019,Mini Gifts Distributors Ltd.,Mandalay,Member,Male,2012252,Electronic accessories,18.93,6,5.679,119.259,Credit card,8.1
10369,17899,3/19/2019,Collectables For Less Inc.,Naypyitaw,Member,Female,6840501,Fashion accessories,82.63,10,41.315,867.615,Ewallet,7.9
10381,17900,02/03/2019,Corporate Gift Ideas Co.,Naypyitaw,Member,Male,4231263,Food and beverages,91.4,7,31.99,671.79,Cash,9.5
10391,17901,02/10/2019,Anna's Decorations, Ltd,Yangon,Member,Female,1044854,Food and beverages,44.59,5,111.475,2.340.975,Cash,8.5
10411,17902,3/22/2019,Quebec Home Shopping Network,Mandalay,Member,Female,1054424,Fashion accessories,17.87,4,3.574,75.054,Ewallet,6.5
10424,17903,1/25/2019,Euro Shopping Channel,Naypyitaw,Member,Male,6718913,Fashion accessories,15.43,1,0.7715,162.015,Credit card,6.1
10107,17904,03/07/2019,Land of Toys Inc.,Mandalay,Normal,Male,7221289,Home and lifestyle,16.16,2,1.616,33.936,Ewallet,6.5
10120,17905,2/28/2019,Australian Collectors, Co.,Naypyitaw,Normal,Female,4279670,Electronic accessories,85.98,8,34.392,722.232,Cash,8.2
10134,17906,3/27/2019,Lyon Souveniers,Yangon,Member,Male,7472299,Home and lifestyle,44.34,2,4.434,93.114,Cash,5.8
10145,17907,02/07/2019,Toys4GrownUps.com,Yangon,Normal,Male,8189948,Health and beauty,89.6,8,35.84,752.64,Ewallet,6.6
10159,17908,1/20/2019,Corporate Gift Ideas Co.,Yangon,Member,Female,6637956,Home and lifestyle,72.35,10,36.175,759.675,Cash,5.4
10168,17909,03/12/2019,Technics Stores Inc.,Naypyitaw,Normal,Male,5685054,Electronic accessories,30.61,6,9.183,192.843,Cash,9.3
10180,17910,2/15/2019,Daedalus Designs Imports,Naypyitaw,Member,Female,9995384,Sports and travel,24.74,3,3.711,77.931,Credit card,10
10188,17911,2/24/2019,Herkku Gifts,Naypyitaw,Normal,Male,6375187,Home and lifestyle,55.73,6,16.719,351.099,Ewallet,7
10201,17912,02/03/2019,Mini Wheels Co.,Mandalay,Member,Female,7056456,Sports and travel,55.07,9,247.815,5.204.115,Ewallet,10
10210,17913,03/06/2019,Osaka Souveniers Co.,Yangon,Member,Male,2293960,Sports and travel,15.81,10,7.905,166.005,Credit card,8.6
10223,17914,2/14/2019,Australian Collectors, Co.,Mandalay,Member,Male,8010861,Health and beauty,75.74,4,15.148,318.108,Cash,7.6
10236,17915,3/13/2019,Motor Mint Distributors Inc.,Yangon,Member,Male,9568226,Health and beauty,15.87,10,7.935,166.635,Cash,5.8
10251,17916,02/10/2019,Tekni Collectables Inc.,Naypyitaw,Normal,Female,7860784,Health and beauty,33.47,2,3.347,70.287,Ewallet,6.7
10263,17917,01/07/2019,Gift Depot Inc.,Mandalay,Member,Female,5401071,Fashion accessories,97.61,6,29.283,614.943,Ewallet,9.9
10275,17918,1/24/2019,La Rochelle Gifts,Yangon,Normal,Male,4441507,Sports and travel,78.77,10,39.385,827.085,Cash,6.4
10285,17919,02/02/2019,Marta's Replicas Co.,Yangon,Member,Female,6543107,Health and beauty,18.33,1,0.9165,192.465,Cash,4.3
10298,17920,01/06/2019,Atelier graphique,Naypyitaw,Normal,Male,3407002,Food and beverages,89.48,10,44.74,939.54,Credit card,9.6
10308,17921,02/11/2019,Mini Classics,Naypyitaw,Normal,Male,7304403,Fashion accessories,62.12,10,31.06,652.26,Cash,5.9
10318,17922,03/05/2019,Diecast Classics Inc.,Mandalay,Member,Female,3004444,Food and beverages,48.52,3,7.278,152.838,Ewallet,4
10329,17923,03/09/2019,Land of Toys Inc.,Naypyitaw,Normal,Female,5117931,Electronic accessories,75.91,6,22.773,478.233,Cash,8.7
10339,17924,1/22/2019,Tokyo Collectables, Ltd,Yangon,Normal,Male,3168748,Home and lifestyle,74.67,9,336.015,7.056.315,Ewallet,9.4
10361,17925,1/13/2019,Souveniers And Things Co.,Naypyitaw,Normal,Female,3344939,Electronic accessories,41.65,10,20.825,437.325,Credit card,5.4
10374,17926,01/09/2019,Australian Gift Network, Co,Naypyitaw,Member,Male,4754591,Fashion accessories,49.04,9,22.068,463.428,Credit card,8.6
10388,17927,01/12/2019,FunGiftIdeas.com,Yangon,Member,Female,2028494,Fashion accessories,20.01,9,90.045,1.890.945,Credit card,5.7
10402,17928,03/05/2019,Auto Canal Petit,Naypyitaw,Member,Female,8728989,Food and beverages,78.31,10,39.155,822.255,Ewallet,6.6
10417,17929,1/22/2019,Euro Shopping Channel,Naypyitaw,Normal,Female,2430337,Health and beauty,20.38,5,5.095,106.995,Cash,6
10107,17930,1/21/2019,Land of Toys Inc.,Naypyitaw,Normal,Female,4397714,Health and beauty,99.19,6,29.757,624.897,Credit card,5.5
10120,17931,1/26/2019,Australian Collectors, Co.,Mandalay,Normal,Female,5531911,Food and beverages,96.68,3,14.502,304.542,Ewallet,6.4
10134,17932,1/23/2019,Lyon Souveniers,Naypyitaw,Normal,Male,7758293,Food and beverages,19.25,8,7.7,161.7,Ewallet,6.6
10145,17933,2/23/2019,Toys4GrownUps.com,Naypyitaw,Member,Female,7660043,Food and beverages,80.36,4,16.072,337.512,Credit card,8.3
10159,17934,03/09/2019,Corporate Gift Ideas Co.,Naypyitaw,Member,Male,5575046,Sports and travel,48.91,5,122.275,2.567.775,Cash,6.6
10168,17935,03/05/2019,Technics Stores Inc.,Naypyitaw,Normal,Female,6169646,Sports and travel,83.06,7,29.071,610.491,Ewallet,4
10180,17936,3/25/2019,Daedalus Designs Imports,Naypyitaw,Normal,Male,1055718,Fashion accessories,76.52,5,19.13,401.73,Cash,9.9
10188,17937,3/27/2019,Herkku Gifts,Yangon,Member,Male,6936249,Food and beverages,49.38,7,17.283,362.943,Credit card,7.3
10201,17938,01/02/2019,Mini Wheels Co.,Yangon,Normal,Male,3251827,Sports and travel,42.47,1,21.235,445.935,Cash,5.7
10210,17939,2/27/2019,Osaka Souveniers Co.,Mandalay,Normal,Female,1555373,Health and beauty,76.99,6,23.097,485.037,Cash,6.1
10223,17940,1/23/2019,Australian Collectors, Co.,,Member,Female,4170289,Home and lifestyle,47.38,4,9.476,198.996,Cash,7.1
10237,17941,1/26/2019,Vitachrome Inc.,Naypyitaw,Normal,Female,5388080,Sports and travel,44.86,10,22.43,471.03,Ewallet,8.2
10251,17942,01/10/2019,Tekni Collectables Inc.,Yangon,Member,Female,6216776,Sports and travel,21.98,7,7.693,161.553,Ewallet,5.1
10263,17943,03/12/2019,Gift Depot Inc.,Mandalay,Member,Male,7685084,Health and beauty,64.36,9,28.962,608.202,Credit card,8.6
10275,17944,02/06/2019,La Rochelle Gifts,Naypyitaw,Normal,Male,8341049,Health and beauty,89.75,1,44.875,942.375,Credit card,6.6
10285,17945,03/08/2019,Marta's Replicas Co.,Yangon,Normal,Male,1643650,Electronic accessories,97.16,1,4.858,102.018,Ewallet,7.2
10299,17946,3/29/2019,Toys of Finland, Co.,Mandalay,Normal,Male,5830543,Health and beauty,87.87,10,43.935,922.635,Ewallet,5.1
10308,17947,02/09/2019,Mini Classics,Naypyitaw,Normal,Female,1379791,Electronic accessories,12.45,6,3.735,78.435,Cash,4.1
10318,17948,3/23/2019,Diecast Classics Inc.,Yangon,Normal,Male,7365354,Food and beverages,52.75,3,79.125,1.661.625,Ewallet,9.3
10329,17949,03/05/2019,Land of Toys Inc.,Mandalay,Normal,Male,8202739,Home and lifestyle,,6,24.81,521.01,Cash,7.4
10339,17950,3/26/2019,Tokyo Collectables, Ltd,Naypyitaw,Member,Male,1310726,Fashion accessories,48.71,1,24.355,511.455,Cash,4.1
10362,17951,03/01/2019,Technics Stores Inc.,Naypyitaw,Normal,Male,6740011,Fashion accessories,78.55,9,353.475,7.422.975,Cash,7.2
10374,17952,02/01/2019,Australian Gift Network, Co,Naypyitaw,Normal,Female,2663807,Electronic accessories,23.07,9,103.815,2.180.115,Cash,4.9
10388,17953,3/28/2019,FunGiftIdeas.com,Yangon,Normal,Male,7474821,Food and beverages,58.26,6,17.478,367.038,Cash,9.9
10403,17954,3/19/2019,UK Collectables, Ltd.,Mandalay,Normal,Male,9683571,Health and beauty,30.35,7,106.225,2.230.725,Cash,8
10417,17955,01/12/2019,Euro Shopping Channel,Yangon,Member,Male,6944235,Electronic accessories,88.67,10,44.335,931.035,Ewallet,7.3
10105,17956,01/05/2019,Danish Wholesale Imports,Naypyitaw,Normal,Male,8910812,Fashion accessories,27.38,6,8.214,172.494,Credit card,7.9
10119,17957,3/22/2019,Salzburg Collectables,Yangon,Normal,Male,9550920,Sports and travel,62.13,6,18.639,391.419,Cash,7.4
10129,17958,3/24/2019,Stylish Desk Decors, Co.,Naypyitaw,Normal,Female,9561810,Food and beverages,33.98,9,15.291,321.111,Cash,4.2
10143,17959,03/03/2019,Mini Creations Ltd.,Naypyitaw,Member,Male,6626522,Electronic accessories,81.97,10,40.985,860.685,Cash,9.2
10155,17960,02/05/2019,Toys of Finland, Co.,Mandalay,Member,Female,9013283,Sports and travel,16.49,2,1.649,34.629,Ewallet,4.6
10167,17961,02/05/2019,Scandinavian Gift Ideas,Naypyitaw,Member,Female,4240581,Health and beauty,98.21,3,147.315,3.093.615,Credit card,7.8
10178,17962,2/15/2019,Alpha Cognac,Mandalay,Normal,Female,3543275,Fashion accessories,72.84,7,25.494,535.374,Cash,8.4
10186,17963,1/19/2019,Double Decker Gift Stores, Ltd,Yangon,Member,Male,2480383,Home and lifestyle,58.07,9,261.315,5.487.615,Ewallet,4.3
10197,17964,02/01/2019,Enaco Distributors,Naypyitaw,Member,Female,9866936,Home and lifestyle,80.79,9,363.555,7.634.655,Credit card,9.5
10209,17965,03/02/2019,Men 'R' US Retailers, Ltd.,Naypyitaw,Normal,Female,3164774,Fashion accessories,27.02,3,4.053,85.113,Credit card,7.1
10222,17966,03/05/2019,Collectable Mini Designs Co.,Mandalay,Member,Male,8767724,Fashion accessories,21.94,5,5.485,115.185,Ewallet,5.3
10248,17967,1/16/2019,Land of Toys Inc.,Mandalay,Member,Male,7394272,Fashion accessories,51.36,1,2.568,53.928,Ewallet,5.2
10261,17968,02/02/2019,Quebec Home Shopping Network,Yangon,Normal,Female,8746314,Food and beverages,10.96,10,5.48,115.08,Ewallet,6
10273,17969,1/20/2019,Petit Auto,Mandalay,Normal,Male,8412434,Home and lifestyle,53.44,2,5.344,112.224,Ewallet,4.1
10283,17970,2/14/2019,Royal Canadian Collectables, Ltd.,Yangon,Normal,Female,1566499,Electronic accessories,99.56,8,39.824,836.304,Credit card,5.2
10295,17971,01/12/2019,Gifts4AllAges.com,Naypyitaw,Member,Male,5932708,Sports and travel,57.12,7,19.992,419.832,Credit card,6.5
10307,17972,03/09/2019,Classic Gift Ideas, Inc,Mandalay,Member,Male,8611969,Sports and travel,99.96,9,44.982,944.622,Credit card,4.2
10316,17973,3/13/2019,giftsbymail.co.uk,Naypyitaw,Member,Male,7091017,Home and lifestyle,63.91,8,25.564,536.844,Credit card,4.6
10325,17974,03/09/2019,Baane Mini Imports,Mandalay,Member,Female,6062167,Fashion accessories,56.47,8,22.588,474.348,Ewallet,7.3
10337,17975,03/10/2019,Classic Legends Inc.,Yangon,Normal,Female,5560780,Home and lifestyle,93.69,7,327.915,6.886.215,Credit card,4.5
10350,17976,1/27/2019,Euro Shopping Channel,Yangon,Normal,Female,9114954,Sports and travel,32.25,5,80.625,1.693.125,Cash,9
10359,17977,01/08/2019,Reims Collectables,Naypyitaw,Normal,Female,7056682,Fashion accessories,31.73,9,142.785,2.998.485,Credit card,5.9
10373,17978,01/08/2019,Oulu Toy Supplies, Inc.,Naypyitaw,Member,Female,3008846,Food and beverages,68.54,8,27.416,575.736,Ewallet,8.5
10384,17979,02/08/2019,Corporate Gift Ideas Co.,Mandalay,Normal,Female,3765088,Sports and travel,90.28,9,40.626,853.146,Ewallet,7.2
10395,17980,1/25/2019,Lyon Souveniers,Mandalay,Normal,Female,4947312,Fashion accessories,39.62,7,13.867,291.207,Cash,7.5
10400,17981,03/06/2019,The Sharp Gifts Warehouse,Yangon,Member,Female,7393999,Sports and travel,92.13,6,27.639,580.419,Cash,8.3
10414,17982,02/10/2019,Gifts4AllAges.com,Mandalay,Normal,Female,4813686,Sports and travel,34.84,4,6.968,146.328,Cash,7.4
10103,17983,2/17/2019,Baane Mini Imports,Mandalay,Member,Male,5693219,Electronic accessories,87.45,6,26.235,550.935,Credit card,8.8
10114,17984,03/08/2019,La Corne D'abondance, Co.,Naypyitaw,Normal,Female,7206333,Health and beauty,81.3,6,24.39,512.19,Ewallet,5.3
10126,17985,2/18/2019,Corrida Auto Replicas, Ltd,Naypyitaw,Normal,Male,9223959,Fashion accessories,90.22,3,13.533,284.193,Cash,6.2
10140,17986,1/18/2019,Technics Stores Inc.,Yangon,Normal,Female,7228838,Electronic accessories,26.31,5,65.775,1.381.275,Credit card,8.8
10150,17987,2/18/2019,Dragon Souveniers, Ltd.,Yangon,Member,Female,8059231,Home and lifestyle,34.42,6,10.326,216.846,Cash,9.8
10164,17988,2/16/2019,Mini Auto Werke,Mandalay,Normal,Male,1165413,Sports and travel,51.91,10,25.955,545.055,Cash,8.2
10175,17989,3/16/2019,Stylish Desk Decors, Co.,Yangon,Normal,Male,1102718,Sports and travel,72.5,8,29,609,Ewallet,9.2
10183,17990,1/23/2019,Classic Gift Ideas, Inc,Naypyitaw,Member,Female,5470311,Sports and travel,89.8,10,44.9,942.9,Credit card,5.4
10194,17991,1/25/2019,Saveley & Henriot, Co.,Naypyitaw,Member,Male,4001807,Health and beauty,90.5,10,45.25,950.25,Cash,8.1
10207,17992,02/05/2019,Diecast Collectables,Naypyitaw,Member,Female,9097061,Health and beauty,68.6,10,34.3,720.3,Cash,9.1
10217,17993,2/22/2019,Handji Gifts& Co,Naypyitaw,Member,Female,6048969,Food and beverages,30.41,1,15.205,319.305,Credit card,8.4
10229,17994,1/21/2019,Mini Gifts Distributors Ltd.,Yangon,Normal,Female,9475747,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,8
10245,17995,03/08/2019,Super Scale Inc.,Naypyitaw,Normal,Female,9510507,Health and beauty,46.26,6,13.878,291.438,Credit card,9.5
10259,17996,02/10/2019,Handji Gifts& Co,Yangon,Member,Female,6199345,Fashion accessories,30.14,10,15.07,316.47,Ewallet,9.2
10270,17997,3/19/2019,Souveniers And Things Co.,Naypyitaw,Normal,Male,3031247,Health and beauty,66.14,4,13.228,277.788,Credit card,5.6
10281,17998,03/06/2019,Diecast Classics Inc.,Mandalay,Member,Male,4397241,Home and lifestyle,71.86,8,28.744,603.624,Credit card,6.2
10291,17999,3/27/2019,Scandinavian Gift Ideas,Yangon,Normal,Male,1460080,Health and beauty,32.46,8,12.984,272.664,Credit card,4.9
10305,18000,3/23/2019,Marta's Replicas Co.,Mandalay,Member,Female,8424614,Fashion accessories,91.54,4,18.308,384.468,Credit card,4.8
10313,18001,03/11/2019,Canadian Gift Exchange Network,Naypyitaw,Member,Male,6198012,Sports and travel,34.56,7,12.096,254.016,Credit card,7.3
10322,18002,1/29/2019,Online Diecast Creations Co.,Yangon,Normal,Male,5496200,Fashion accessories,83.24,9,37.458,786.618,Credit card,7.4
10334,18003,02/07/2019,Volvo Model Replicas, Co,Naypyitaw,Normal,Female,8205229,Food and beverages,16.48,6,4.944,103.824,Ewallet,9.9
10347,18004,1/28/2019,Australian Collectors, Co.,Naypyitaw,Normal,Female,1354906,Sports and travel,80.97,8,32.388,,Cash,9.3
10357,18005,2/20/2019,Mini Gifts Distributors Ltd.,Yangon,Member,Male,6571560,Food and beverages,92.29,5,230.725,4.845.225,Credit card,9
10370,18006,01/04/2019,Anna's Decorations, Ltd,Mandalay,Member,Male,8734850,Electronic accessories,72.17,1,36.085,757.785,Cash,6.1
10381,18007,03/07/2019,Corporate Gift Ideas Co.,Mandalay,Normal,Male,3149791,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,9.7
10391,18008,3/30/2019,Anna's Decorations, Ltd,Mandalay,Member,Male,6375192,Health and beauty,97.22,9,43.749,918.729,Ewallet,6
10411,18009,3/27/2019,Quebec Home Shopping Network,Mandalay,Normal,Male,5409896,Sports and travel,93.39,6,28.017,588.357,Ewallet,10
10425,18010,1/19/2019,La Rochelle Gifts,Naypyitaw,Normal,Female,9979418,Food and beverages,43.18,8,17.272,362.712,Credit card,8.3
10108,18011,2/25/2019,Cruz & Sons Co.,Yangon,Normal,Male,6131876,Sports and travel,63.69,1,31.845,668.745,Cash,6
10122,18012,3/13/2019,Marseille Mini Autos,Yangon,Normal,Male,7791398,Food and beverages,45.79,7,160.265,3.365.565,Credit card,7
10135,18013,1/30/2019,Mini Gifts Distributors Ltd.,Naypyitaw,Normal,Male,5951804,Sports and travel,76.4,2,7.64,160.44,Ewallet,6.5
10147,18014,2/20/2019,Collectables For Less Inc.,Mandalay,Normal,Male,6760307,Food and beverages,39.9,10,19.95,418.95,Credit card,5.9
10159,18015,2/25/2019,Corporate Gift Ideas Co.,Mandalay,Member,Male,3405105,Health and beauty,42.57,8,17.028,357.588,Ewallet,5.6
10169,18016,1/16/2019,Anna's Decorations, Ltd,Naypyitaw,Normal,Male,7351260,Home and lifestyle,95.58,10,47.79,1003.59,Cash,4.8
10181,18017,02/08/2019,Herkku Gifts,Yangon,Normal,Male,9846878,Fashion accessories,98.98,10,49.49,1039.29,Credit card,8.7
10191,18018,1/19/2019,Toms Spezialitten, Ltd,Yangon,Normal,Male,1591119,Food and beverages,51.28,6,15.384,323.064,Cash,6.5
10203,18019,02/01/2019,Euro Shopping Channel,Yangon,Member,Male,1287140,Sports and travel,69.52,7,24.332,510.972,Credit card,8.5
10211,18020,01/03/2019,Auto Canal Petit,Yangon,Normal,Male,9153460,Health and beauty,70.01,5,175.025,3.675.525,Ewallet,5.5
10225,18021,1/26/2019,Vida Sport, Ltd,Mandalay,Member,Male,4164870,Food and beverages,80.05,5,200.125,4.202.625,Credit card,9.4
10238,18022,03/03/2019,Danish Wholesale Imports,Naypyitaw,Normal,Male,6788784,Electronic accessories,20.85,8,8.34,175.14,Cash,6.3
10253,18023,1/19/2019,UK Collectables, Ltd.,Mandalay,Member,Male,7407290,Electronic accessories,52.89,6,15.867,333.207,Credit card,9.8
10266,18024,1/18/2019,L'ordine Souveniers,Mandalay,Normal,Male,8144716,Food and beverages,19.79,8,7.916,166.236,Ewallet,8.7
10276,18025,3/21/2019,Online Mini Collectables,Yangon,Member,Male,9617007,Home and lifestyle,33.84,9,15.228,319.788,Ewallet,8.8
10287,18026,03/03/2019,Vida Sport, Ltd,Yangon,Member,Male,1699359,Food and beverages,22.17,8,8.868,186.228,Credit card,9.6
10300,18027,2/13/2019,Blauer See Auto, Co.,Naypyitaw,Normal,Female,1070877,Fashion accessories,22.51,7,78.785,1.654.485,Credit card,4.8
10310,18028,3/23/2019,Toms Spezialitten, Ltd,Yangon,Normal,Male,1247179,Food and beverages,73.88,6,22.164,465.444,Ewallet,4.4
10320,18029,1/28/2019,Volvo Model Replicas, Co,Naypyitaw,Member,Male,6137772,Health and beauty,86.8,3,13.02,273.42,Ewallet,9.9
10329,18030,02/09/2019,Land of Toys Inc.,Naypyitaw,Normal,Male,6808544,Fashion accessories,64.26,7,22.491,472.311,Cash,5.7
10341,18031,1/23/2019,Salzburg Collectables,Naypyitaw,Member,Male,5542905,Food and beverages,38.47,8,15.388,323.148,Cash,7.7
10363,18032,3/23/2019,Suominen Souveniers,Yangon,Member,Male,9926710,Sports and travel,15.5,10,7.75,162.75,Ewallet,8
10375,18033,1/25/2019,La Rochelle Gifts,Naypyitaw,Normal,Male,4604935,Health and beauty,34.31,8,13.724,288.204,Ewallet,5.7
10389,18034,03/04/2019,Scandinavian Gift Ideas,Yangon,Normal,Female,2233578,Sports and travel,12.34,7,4.319,90.699,Credit card,6.7
10419,18035,03/05/2019,Salzburg Collectables,Mandalay,Member,Male,5048549,Food and beverages,18.08,3,2.712,56.952,Ewallet,8
10105,18036,03/03/2019,Danish Wholesale Imports,Mandalay,Member,Female,1055884,Home and lifestyle,94.49,8,37.796,793.716,Ewallet,7.5
10117,18037,02/08/2019,Dragon Souveniers, Ltd.,Mandalay,Member,Male,9528951,Home and lifestyle,46.47,4,9.294,195.174,Cash,7
10127,18038,02/10/2019,Muscle Machine Inc,Yangon,Normal,Male,2933608,Home and lifestyle,74.07,1,37.035,777.735,Ewallet,9.9
